"DateTime";"Великобритания";"Германия";"Иран";"Испания";"Италия";"Китай";"Россия";"США"
2020-01-22 00:00:00;0;0;0;0;0;17;0;0
2020-01-23 00:00:00;0;0;0;0;0;18;0;0
2020-01-24 00:00:00;0;0;0;0;0;26;0;0
2020-01-25 00:00:00;0;0;0;0;0;42;0;0
2020-01-26 00:00:00;0;0;0;0;0;56;0;0
2020-01-27 00:00:00;0;0;0;0;0;82;0;0
2020-01-28 00:00:00;0;0;0;0;0;131;0;0
2020-01-29 00:00:00;0;0;0;0;0;133;0;0
2020-01-30 00:00:00;0;0;0;0;0;171;0;0
2020-01-31 00:00:00;0;0;0;0;0;213;0;0
2020-02-01 00:00:00;0;0;0;0;0;259;0;0
2020-02-02 00:00:00;0;0;0;0;0;361;0;0
2020-02-03 00:00:00;0;0;0;0;0;425;0;0
2020-02-04 00:00:00;0;0;0;0;0;491;0;0
2020-02-05 00:00:00;0;0;0;0;0;563;0;0
2020-02-06 00:00:00;0;0;0;0;0;633;0;0
2020-02-07 00:00:00;0;0;0;0;0;718;0;0
2020-02-08 00:00:00;0;0;0;0;0;805;0;0
2020-02-09 00:00:00;0;0;0;0;0;905;0;0
2020-02-10 00:00:00;0;0;0;0;0;1012;0;0
2020-02-11 00:00:00;0;0;0;0;0;1112;0;0
2020-02-12 00:00:00;0;0;0;0;0;1117;0;0
2020-02-13 00:00:00;0;0;0;0;0;1369;0;0
2020-02-14 00:00:00;0;0;0;0;0;1521;0;0
2020-02-15 00:00:00;0;0;0;0;0;1663;0;0
2020-02-16 00:00:00;0;0;0;0;0;1767;0;0
2020-02-17 00:00:00;0;0;0;0;0;1865;0;0
2020-02-18 00:00:00;0;0;0;0;0;2004;0;0
2020-02-19 00:00:00;0;0;2;0;0;2117;0;0
2020-02-20 00:00:00;0;0;2;0;0;2239;0;0
2020-02-21 00:00:00;0;0;4;0;1;2239;0;0
2020-02-22 00:00:00;0;0;5;0;2;2444;0;0
2020-02-23 00:00:00;0;0;8;0;3;2446;0;0
2020-02-24 00:00:00;0;0;12;0;7;2596;0;0
2020-02-25 00:00:00;0;0;16;0;10;2666;0;0
2020-02-26 00:00:00;0;0;19;0;12;2718;0;0
2020-02-27 00:00:00;0;0;26;0;17;2747;0;0
2020-02-28 00:00:00;0;0;34;0;21;2791;0;0
2020-02-29 00:00:00;0;0;43;0;29;2838;0;1
2020-03-01 00:00:00;0;0;54;0;34;2873;0;1
2020-03-02 00:00:00;0;0;66;0;52;2915;0;6
2020-03-03 00:00:00;0;0;77;1;79;2948;0;7
2020-03-04 00:00:00;0;0;92;2;107;2984;0;11
2020-03-05 00:00:00;0;0;107;3;148;3016;0;12
2020-03-06 00:00:00;1;0;124;5;197;3045;0;14
2020-03-07 00:00:00;2;0;145;10;233;3073;0;17
2020-03-08 00:00:00;2;0;194;17;366;3101;0;21
2020-03-09 00:00:00;3;2;237;28;463;3124;0;22
2020-03-10 00:00:00;7;2;291;35;631;3140;0;28
2020-03-11 00:00:00;7;3;354;54;827;3162;0;33
2020-03-12 00:00:00;9;5;429;55;1016;3173;0;43
2020-03-13 00:00:00;10;5;514;133;1266;3181;0;51
2020-03-14 00:00:00;29;8;611;195;1441;3194;0;58
2020-03-15 00:00:00;43;12;724;289;1809;3204;0;70
2020-03-16 00:00:00;66;12;853;342;2158;3218;0;97
