"DateTime";"Великобритания";"Германия";"Иран";"Испания";"Италия";"Китай";"Россия";"США"
2020-01-22 00:00:00;0;0;0;0;0;17;0;0
2020-01-23 00:00:00;0;0;0;0;0;1;0;0
2020-01-24 00:00:00;0;0;0;0;0;8;0;0
2020-01-25 00:00:00;0;0;0;0;0;16;0;0
2020-01-26 00:00:00;0;0;0;0;0;14;0;0
2020-01-27 00:00:00;0;0;0;0;0;26;0;0
2020-01-28 00:00:00;0;0;0;0;0;49;0;0
2020-01-29 00:00:00;0;0;0;0;0;2;0;0
2020-01-30 00:00:00;0;0;0;0;0;38;0;0
2020-01-31 00:00:00;0;0;0;0;0;42;0;0
2020-02-01 00:00:00;0;0;0;0;0;46;0;0
2020-02-02 00:00:00;0;0;0;0;0;102;0;0
2020-02-03 00:00:00;0;0;0;0;0;64;0;0
2020-02-04 00:00:00;0;0;0;0;0;66;0;0
2020-02-05 00:00:00;0;0;0;0;0;72;0;0
2020-02-06 00:00:00;0;0;0;0;0;70;0;0
2020-02-07 00:00:00;0;0;0;0;0;85;0;0
2020-02-08 00:00:00;0;0;0;0;0;87;0;0
2020-02-09 00:00:00;0;0;0;0;0;100;0;0
2020-02-10 00:00:00;0;0;0;0;0;107;0;0
2020-02-11 00:00:00;0;0;0;0;0;100;0;0
2020-02-12 00:00:00;0;0;0;0;0;5;0;0
2020-02-13 00:00:00;0;0;0;0;0;252;0;0
2020-02-14 00:00:00;0;0;0;0;0;152;0;0
2020-02-15 00:00:00;0;0;0;0;0;142;0;0
2020-02-16 00:00:00;0;0;0;0;0;104;0;0
2020-02-17 00:00:00;0;0;0;0;0;98;0;0
2020-02-18 00:00:00;0;0;0;0;0;139;0;0
2020-02-19 00:00:00;0;0;2;0;0;113;0;0
2020-02-20 00:00:00;0;0;0;0;0;122;0;0
2020-02-21 00:00:00;0;0;2;0;1;0;0;0
2020-02-22 00:00:00;0;0;1;0;1;205;0;0
2020-02-23 00:00:00;0;0;3;0;1;2;0;0
2020-02-24 00:00:00;0;0;4;0;4;150;0;0
2020-02-25 00:00:00;0;0;4;0;3;70;0;0
2020-02-26 00:00:00;0;0;3;0;2;52;0;0
2020-02-27 00:00:00;0;0;7;0;5;29;0;0
2020-02-28 00:00:00;0;0;8;0;4;44;0;0
2020-02-29 00:00:00;0;0;9;0;8;47;0;1
2020-03-01 00:00:00;0;0;11;0;5;35;0;0
2020-03-02 00:00:00;0;0;12;0;18;42;0;5
2020-03-03 00:00:00;0;0;11;1;27;33;0;1
2020-03-04 00:00:00;0;0;15;1;28;36;0;4
2020-03-05 00:00:00;0;0;15;1;41;32;0;1
2020-03-06 00:00:00;1;0;17;2;49;29;0;2
2020-03-07 00:00:00;1;0;21;5;36;28;0;3
2020-03-08 00:00:00;0;0;49;7;133;28;0;4
2020-03-09 00:00:00;1;2;43;11;97;23;0;1
2020-03-10 00:00:00;4;0;54;7;168;16;0;6
2020-03-11 00:00:00;0;1;63;19;196;22;0;5
2020-03-12 00:00:00;2;2;75;1;189;11;0;10
2020-03-13 00:00:00;1;0;85;78;250;8;0;8
2020-03-14 00:00:00;19;3;97;62;175;13;0;7
2020-03-15 00:00:00;14;4;113;94;368;10;0;12
2020-03-16 00:00:00;23;0;129;53;349;14;0;27
2020-03-17 00:00:00;17;0;135;191;345;13;0;37
2020-03-18 00:00:00;35;0;147;90;475;11;0;60
2020-03-19 00:00:00;46;8;149;207;427;8;1;72
2020-03-20 00:00:00;32;11;149;213;627;5;0;106
2020-03-21 00:00:00;58;16;123;332;793;6;0;103
2020-03-22 00:00:00;35;8;129;397;651;15;0;128
2020-03-23 00:00:00;76;31;127;539;601;0;0;187
2020-03-24 00:00:00;148;28;122;497;743;7;0;243
2020-03-25 00:00:00;191;35;143;839;683;4;2;333
2020-03-26 00:00:00;181;49;157;718;712;6;0;417
2020-03-27 00:00:00;289;55;144;773;919;5;1;522
2020-03-28 00:00:00;292;72;139;844;889;3;0;713
2020-03-29 00:00:00;212;64;123;821;756;5;4;555
2020-03-30 00:00:00;376;66;117;913;812;7;1;707
2020-03-31 00:00:00;403;128;141;748;837;1;8;1079
2020-04-01 00:00:00;673;149;138;923;727;7;7;1252
2020-04-02 00:00:00;657;140;124;961;760;6;6;1531
2020-04-03 00:00:00;737;145;134;850;766;4;4;1420
2020-04-04 00:00:00;757;141;158;749;681;4;9;1603
2020-04-05 00:00:00;602;184;151;694;525;3;2;1616
2020-04-06 00:00:00;569;92;136;700;636;2;2;1742
2020-04-07 00:00:00;1107;173;133;704;604;0;11;2576
2020-04-08 00:00:00;1031;254;121;747;542;2;5;2150
2020-04-09 00:00:00;1119;246;117;655;610;2;13;2214
2020-04-10 00:00:00;1123;266;122;634;570;2;18;2187
2020-04-11 00:00:00;845;171;125;525;619;3;12;2136
2020-04-12 00:00:00;657;129;117;603;431;0;24;1889
2020-04-13 00:00:00;726;126;111;547;566;2;18;1985
2020-04-14 00:00:00;1077;170;98;300;602;0;22;2473
2020-04-15 00:00:00;882;285;94;652;578;1;28;2598
2020-04-16 00:00:00;1040;315;92;607;525;0;34;2183
2020-04-17 00:00:00;914;299;89;687;575;1290;41;2095
2020-04-18 00:00:00;1110;242;73;41;482;0;40;1946
2020-04-19 00:00:00;434;184;87;410;433;0;48;1980
2020-04-20 00:00:00;574;110;91;399;454;0;44;2245
2020-04-21 00:00:00;1224;194;88;430;534;0;51;2482
2020-04-22 00:00:00;856;281;94;435;437;0;57;2467
2020-04-23 00:00:00;683;215;90;440;464;0;42;2414
2020-04-24 00:00:00;1018;227;93;367;420;0;60;2169
2020-04-25 00:00:00;817;179;76;378;415;0;66;1734
2020-04-26 00:00:00;364;140;60;288;260;1;66;1406
2020-04-27 00:00:00;323;110;96;331;333;0;47;1480
2020-04-28 00:00:00;970;163;71;301;382;0;73;2244
2020-04-29 00:00:00;769;202;80;453;323;0;105;2392
2020-04-30 00:00:00;635;173;71;268;285;0;101;2191
2020-05-01 00:00:00;699;193;63;0;269;0;96;1908
2020-05-02 00:00:00;587;94;65;557;474;0;53;1743
2020-05-03 00:00:00;254;74;47;164;174;0;58;1203
2020-05-04 00:00:00;274;43;74;164;195;0;76;1358
2020-05-05 00:00:00;726;139;63;185;236;0;95;2221
2020-05-06 00:00:00;647;165;78;244;369;0;86;2322
2020-05-07 00:00:00;458;123;68;213;274;0;88;1915
2020-05-08 00:00:00;580;147;55;229;243;0;98;1771
2020-05-09 00:00:00;275;103;48;179;194;0;104;1466
2020-05-10 00:00:00;217;26;51;143;165;0;88;1000
2020-05-11 00:00:00;188;22;45;123;179;1;94;1035
2020-05-12 00:00:00;615;116;48;176;172;0;107;1589
2020-05-13 00:00:00;447;101;50;184;195;0;96;1735
2020-05-14 00:00:00;354;89;71;217;262;0;93;1773
2020-05-15 00:00:00;351;101;48;138;242;0;113;1665
2020-05-16 00:00:00;411;57;35;104;153;1;119;1197
2020-05-17 00:00:00;67;33;51;0;145;0;94;830
2020-05-18 00:00:00;146;21;69;146;99;0;91;1220
2020-05-19 00:00:00;500;72;62;69;162;0;115;1445
2020-05-20 00:00:00;328;83;64;110;161;0;135;1503
2020-05-21 00:00:00;274;57;66;52;156;0;127;1188
2020-05-22 00:00:00;292;27;51;688;130;0;150;1204
2020-05-23 00:00:00;220;42;59;50;119;0;139;1074
2020-05-24 00:00:00;379;31;58;74;50;0;153;641
2020-05-25 00:00:00;104;10;34;-1918;92;0;92;597
2020-05-26 00:00:00;131;45;57;283;78;0;174;657
2020-05-27 00:00:00;422;47;56;0;117;0;161;1479
2020-05-28 00:00:00;343;62;63;2;70;0;174;1089
2020-05-29 00:00:00;274;39;50;2;87;0;232;1117
2020-05-30 00:00:00;154;39;57;4;111;0;181;952
2020-05-31 00:00:00;60;11;63;2;75;0;138;621
2020-06-01 00:00:00;86;11;81;0;60;0;156;774
2020-06-02 00:00:00;249;11;64;0;55;0;182;981
2020-06-03 00:00:00;254;29;70;1;71;0;177;1011
2020-06-04 00:00:00;131;30;59;5;88;0;168;1005
2020-06-05 00:00:00;258;32;63;1;85;0;144;880
2020-06-06 00:00:00;143;33;75;1;72;0;197;638
2020-06-07 00:00:00;54;22;72;1;53;0;134;456
2020-06-08 00:00:00;47;6;70;0;65;0;112;512
2020-06-09 00:00:00;195;37;74;0;79;0;171;918
2020-06-10 00:00:00;164;18;81;0;71;0;216;872
2020-06-11 00:00:00;76;26;78;0;53;0;172;817
2020-06-12 00:00:00;131;8;75;0;56;0;183;822
2020-06-13 00:00:00;107;18;71;0;78;0;114;720
2020-06-14 00:00:00;27;6;107;0;44;0;119;347
2020-06-15 00:00:00;29;4;113;0;26;0;143;401
2020-06-16 00:00:00;120;9;115;0;34;0;193;785
2020-06-17 00:00:00;110;30;120;0;43;0;194;749
2020-06-18 00:00:00;67;26;87;0;66;0;182;701
2020-06-19 00:00:00;84;16;120;1179;47;0;181;634
2020-06-20 00:00:00;71;11;115;7;49;0;161;565
2020-06-21 00:00:00;32;-1;116;1;24;1;109;317
2020-06-22 00:00:00;14;3;119;1;23;0;95;379
2020-06-23 00:00:00;94;10;121;1;18;1;153;740
2020-06-24 00:00:00;87;19;133;2;-31;0;154;756
