"DateTime";"Великобритания";"Германия";"Иран";"Испания";"Италия";"Китай";"Россия";"США"
2020-01-22 00:00:00;0;0;0;0;0;549;0;1
2020-01-23 00:00:00;0;0;0;0;0;644;0;1
2020-01-24 00:00:00;0;0;0;0;0;923;0;2
2020-01-25 00:00:00;0;0;0;0;0;1409;0;2
2020-01-26 00:00:00;0;0;0;0;0;2079;0;5
2020-01-27 00:00:00;0;1;0;0;0;2882;0;5
2020-01-28 00:00:00;0;4;0;0;0;5517;0;5
2020-01-29 00:00:00;0;4;0;0;0;6095;0;6
2020-01-30 00:00:00;0;4;0;0;0;8150;0;6
2020-01-31 00:00:00;2;5;0;0;2;9812;2;8
2020-02-01 00:00:00;2;8;0;1;2;11901;2;8
2020-02-02 00:00:00;2;10;0;1;2;16640;2;8
2020-02-03 00:00:00;8;12;0;1;2;19726;2;11
2020-02-04 00:00:00;8;12;0;1;2;23718;2;11
2020-02-05 00:00:00;9;12;0;1;2;27451;2;11
2020-02-06 00:00:00;9;12;0;1;2;30603;2;12
2020-02-07 00:00:00;9;13;0;1;3;34126;2;12
2020-02-08 00:00:00;13;13;0;1;3;36831;2;12
2020-02-09 00:00:00;14;14;0;2;3;39847;2;12
2020-02-10 00:00:00;14;14;0;2;3;42372;2;12
2020-02-11 00:00:00;15;16;0;2;3;44404;2;13
2020-02-12 00:00:00;16;16;0;2;3;44777;2;13
2020-02-13 00:00:00;17;16;0;2;3;59913;2;14
2020-02-14 00:00:00;18;16;0;2;3;66376;2;14
2020-02-15 00:00:00;18;16;0;2;3;68431;2;14
2020-02-16 00:00:00;18;16;0;2;3;70533;2;14
2020-02-17 00:00:00;19;16;0;2;3;72456;2;14
2020-02-18 00:00:00;19;16;0;2;3;74233;2;14
2020-02-19 00:00:00;20;16;2;2;3;74642;2;14
2020-02-20 00:00:00;22;16;5;2;3;75101;2;14
2020-02-21 00:00:00;23;16;18;2;20;75576;2;16
2020-02-22 00:00:00;23;16;28;2;62;77027;2;16
2020-02-23 00:00:00;28;16;43;2;155;77050;2;16
2020-02-24 00:00:00;30;16;61;2;229;77271;2;16
2020-02-25 00:00:00;34;16;95;6;322;77785;2;16
2020-02-26 00:00:00;37;21;139;13;453;78198;2;16
2020-02-27 00:00:00;44;26;245;15;655;78632;2;17
2020-02-28 00:00:00;56;53;388;32;888;78962;2;17
2020-02-29 00:00:00;61;66;593;45;1128;79395;2;25
2020-03-01 00:00:00;94;117;978;84;1694;79972;2;32
2020-03-02 00:00:00;134;150;1501;120;2036;80177;3;55
2020-03-03 00:00:00;189;188;2336;165;2502;80303;3;74
2020-03-04 00:00:00;246;240;2922;222;3089;80428;3;107
2020-03-05 00:00:00;295;349;3513;259;3858;80581;4;184
2020-03-06 00:00:00;374;534;4747;400;4636;80735;13;237
2020-03-07 00:00:00;429;684;5823;500;5883;80815;13;403
2020-03-08 00:00:00;483;847;6566;673;7375;80868;17;519
2020-03-09 00:00:00;630;1112;7161;1073;9172;80905;17;594
2020-03-10 00:00:00;888;1296;8042;1695;10149;80934;20;782
2020-03-11 00:00:00;1299;1567;9000;2277;12462;80969;20;1147
2020-03-12 00:00:00;1788;2369;10075;2277;15113;80981;28;1586
2020-03-13 00:00:00;2268;3062;11364;5232;17660;80995;45;2219
2020-03-14 00:00:00;2632;3795;12729;6391;21157;81030;59;2978
2020-03-15 00:00:00;3074;4838;13938;7798;24747;81062;63;3212
2020-03-16 00:00:00;3686;6012;14991;9942;27980;81100;90;4679
2020-03-17 00:00:00;4456;7156;16169;11748;31506;81135;114;6512
2020-03-18 00:00:00;5462;8198;17361;13910;35713;81202;147;9169
2020-03-19 00:00:00;6523;10999;18407;17963;41035;81264;199;13663
2020-03-20 00:00:00;7778;13957;19644;20410;47021;81385;253;20030
2020-03-21 00:00:00;8975;16662;20610;25374;53578;81458;306;26025
2020-03-22 00:00:00;10398;18610;21638;28768;59138;81604;367;34944
2020-03-23 00:00:00;12747;22672;23049;35136;63927;81688;438;46096
2020-03-24 00:00:00;15139;27436;24811;39885;69176;81802;495;56714
2020-03-25 00:00:00;17847;31554;27017;49515;74386;81893;658;68841
2020-03-26 00:00:00;20958;36508;29406;57786;80589;82033;840;86662
2020-03-27 00:00:00;24203;42288;32332;65719;86498;82139;1036;105253
2020-03-28 00:00:00;27055;48582;35408;73235;92472;82247;1264;127417
2020-03-29 00:00:00;29949;52547;38309;80110;97689;82356;1534;143544
2020-03-30 00:00:00;34251;57298;41495;87956;101739;82445;1836;165698
2020-03-31 00:00:00;38788;61913;44605;95923;105792;84108;2337;192079
2020-04-01 00:00:00;43755;67366;47593;104118;110574;84331;2777;223254
2020-04-02 00:00:00;48694;73522;50468;112065;115242;84468;3548;255530
2020-04-03 00:00:00;53645;79696;53183;119199;119827;84613;4149;287931
2020-04-04 00:00:00;57739;85778;55743;126168;124632;84718;4731;319776
2020-04-05 00:00:00;61359;91714;58226;131646;128948;84830;5389;349016
2020-04-06 00:00:00;66715;95391;60500;136675;132547;84984;6343;380798
2020-04-07 00:00:00;72199;99225;62589;141942;135586;85068;7497;410834
2020-04-08 00:00:00;77369;103228;64586;148220;139422;85288;8672;441897
2020-04-09 00:00:00;82281;108202;66220;153222;143626;85404;10131;477507
2020-04-10 00:00:00;86620;113525;68192;158273;147577;85497;11917;511790
2020-04-11 00:00:00;90248;117658;70029;163027;152271;85593;13584;540714
2020-04-12 00:00:00;93784;120479;71686;166831;156363;85765;15770;567022
2020-04-13 00:00:00;97993;123016;73303;170099;159516;85882;18328;594165
2020-04-14 00:00:00;102352;125098;74877;172541;162488;85962;21102;622493
2020-04-15 00:00:00;107454;127584;76389;177644;165155;86063;24490;648390
