"DateTime";"Великобритания";"Германия";"Иран";"Испания";"Италия";"Китай";"Россия";"США"
2020-01-22 00:00:00;0;0;0;0;0;549;0;1
2020-01-23 00:00:00;0;0;0;0;0;95;0;0
2020-01-24 00:00:00;0;0;0;0;0;279;0;1
2020-01-25 00:00:00;0;0;0;0;0;486;0;0
2020-01-26 00:00:00;0;0;0;0;0;670;0;3
2020-01-27 00:00:00;0;1;0;0;0;803;0;0
2020-01-28 00:00:00;0;3;0;0;0;2635;0;0
2020-01-29 00:00:00;0;0;0;0;0;578;0;1
2020-01-30 00:00:00;0;0;0;0;0;2055;0;0
2020-01-31 00:00:00;2;1;0;0;2;1662;2;2
2020-02-01 00:00:00;0;3;0;1;0;2089;0;0
2020-02-02 00:00:00;0;2;0;0;0;4739;0;0
2020-02-03 00:00:00;6;2;0;0;0;3086;0;3
2020-02-04 00:00:00;0;0;0;0;0;3992;0;0
2020-02-05 00:00:00;1;0;0;0;0;3733;0;0
2020-02-06 00:00:00;0;0;0;0;0;3152;0;1
2020-02-07 00:00:00;0;1;0;0;1;3523;0;0
2020-02-08 00:00:00;4;0;0;0;0;2705;0;0
2020-02-09 00:00:00;1;1;0;1;0;3016;0;0
2020-02-10 00:00:00;0;0;0;0;0;2525;0;0
2020-02-11 00:00:00;1;2;0;0;0;2032;0;1
2020-02-12 00:00:00;1;0;0;0;0;373;0;0
2020-02-13 00:00:00;1;0;0;0;0;15136;0;1
2020-02-14 00:00:00;1;0;0;0;0;6463;0;0
2020-02-15 00:00:00;0;0;0;0;0;2055;0;0
2020-02-16 00:00:00;0;0;0;0;0;2102;0;0
2020-02-17 00:00:00;1;0;0;0;0;1923;0;0
2020-02-18 00:00:00;0;0;0;0;0;1777;0;0
2020-02-19 00:00:00;1;0;2;0;0;409;0;0
2020-02-20 00:00:00;2;0;3;0;0;459;0;0
2020-02-21 00:00:00;1;0;13;0;17;475;0;2
2020-02-22 00:00:00;0;0;10;0;42;1451;0;0
