"DateTime";"Великобритания";"Германия";"Иран";"Испания";"Италия";"Китай";"Россия";"США"
2020-01-22 00:00:00;0;0;0;0;0;28;0;0
2020-01-23 00:00:00;0;0;0;0;0;30;0;0
2020-01-24 00:00:00;0;0;0;0;0;36;0;0
2020-01-25 00:00:00;0;0;0;0;0;39;0;0
2020-01-26 00:00:00;0;0;0;0;0;49;0;0
2020-01-27 00:00:00;0;0;0;0;0;58;0;0
2020-01-28 00:00:00;0;0;0;0;0;101;0;0
2020-01-29 00:00:00;0;0;0;0;0;120;0;0
2020-01-30 00:00:00;0;0;0;0;0;135;0;0
2020-01-31 00:00:00;0;0;0;0;0;214;0;0
2020-02-01 00:00:00;0;0;0;0;0;275;0;0
2020-02-02 00:00:00;0;0;0;0;0;463;0;0
2020-02-03 00:00:00;0;0;0;0;0;614;0;0
2020-02-04 00:00:00;0;0;0;0;0;843;0;0
2020-02-05 00:00:00;0;0;0;0;0;1115;0;0
2020-02-06 00:00:00;0;0;0;0;0;1478;0;0
2020-02-07 00:00:00;0;0;0;0;0;2000;0;0
2020-02-08 00:00:00;0;0;0;0;0;2597;0;0
2020-02-09 00:00:00;0;0;0;0;0;3220;0;3
2020-02-10 00:00:00;0;0;0;0;0;3919;0;3
2020-02-11 00:00:00;0;0;0;0;0;4637;0;3
2020-02-12 00:00:00;1;0;0;0;0;5083;2;3
2020-02-13 00:00:00;1;1;0;0;0;6218;2;3
2020-02-14 00:00:00;1;1;0;0;0;7979;2;3
2020-02-15 00:00:00;1;1;0;2;0;9300;2;3
2020-02-16 00:00:00;8;1;0;2;0;10757;2;3
2020-02-17 00:00:00;8;1;0;2;0;12464;2;3
2020-02-18 00:00:00;8;12;0;2;0;14208;2;3
2020-02-19 00:00:00;8;12;0;2;0;15964;2;3
2020-02-20 00:00:00;8;12;0;2;0;18016;2;3
2020-02-21 00:00:00;8;14;0;2;0;18706;2;5
2020-02-22 00:00:00;8;14;0;2;1;22701;2;5
2020-02-23 00:00:00;8;14;0;2;2;23189;2;5
2020-02-24 00:00:00;8;14;0;2;1;25020;2;5
2020-02-25 00:00:00;8;14;0;2;1;27681;2;6
2020-02-26 00:00:00;8;15;49;2;3;30089;2;6
2020-02-27 00:00:00;8;16;49;2;45;32935;2;6
2020-02-28 00:00:00;8;16;73;2;46;36335;2;7
2020-02-29 00:00:00;8;16;123;2;46;39329;2;7
2020-03-01 00:00:00;8;16;175;2;83;42171;2;7
2020-03-02 00:00:00;8;16;291;2;149;44866;2;7
2020-03-03 00:00:00;8;16;291;2;160;47462;2;7
2020-03-04 00:00:00;8;16;552;2;276;50013;2;7
