"DateTime";"Великобритания";"Германия";"Иран";"Испания";"Италия";"Китай";"Россия";"США"
2020-01-22 00:00:00;0;0;0;0;0;28;0;0
2020-01-23 00:00:00;0;0;0;0;0;2;0;0
2020-01-24 00:00:00;0;0;0;0;0;6;0;0
2020-01-25 00:00:00;0;0;0;0;0;3;0;0
2020-01-26 00:00:00;0;0;0;0;0;10;0;0
2020-01-27 00:00:00;0;0;0;0;0;9;0;0
2020-01-28 00:00:00;0;0;0;0;0;43;0;0
2020-01-29 00:00:00;0;0;0;0;0;19;0;0
2020-01-30 00:00:00;0;0;0;0;0;15;0;0
2020-01-31 00:00:00;0;0;0;0;0;79;0;0
2020-02-01 00:00:00;0;0;0;0;0;61;0;0
2020-02-02 00:00:00;0;0;0;0;0;188;0;0
2020-02-03 00:00:00;0;0;0;0;0;151;0;0
2020-02-04 00:00:00;0;0;0;0;0;229;0;0
2020-02-05 00:00:00;0;0;0;0;0;272;0;0
2020-02-06 00:00:00;0;0;0;0;0;363;0;0
2020-02-07 00:00:00;0;0;0;0;0;522;0;0
2020-02-08 00:00:00;0;0;0;0;0;597;0;0
2020-02-09 00:00:00;0;0;0;0;0;623;0;3
2020-02-10 00:00:00;0;0;0;0;0;699;0;0
2020-02-11 00:00:00;0;0;0;0;0;718;0;0
2020-02-12 00:00:00;1;0;0;0;0;446;2;0
2020-02-13 00:00:00;0;1;0;0;0;1135;0;0
2020-02-14 00:00:00;0;0;0;0;0;1761;0;0
2020-02-15 00:00:00;0;0;0;2;0;1321;0;0
2020-02-16 00:00:00;7;0;0;0;0;1457;0;0
2020-02-17 00:00:00;0;0;0;0;0;1707;0;0
2020-02-18 00:00:00;0;11;0;0;0;1744;0;0
2020-02-19 00:00:00;0;0;0;0;0;1756;0;0
2020-02-20 00:00:00;0;0;0;0;0;2052;0;0
2020-02-21 00:00:00;0;2;0;0;0;690;0;2
2020-02-22 00:00:00;0;0;0;0;1;3995;0;0
2020-02-23 00:00:00;0;0;0;0;1;488;0;0
2020-02-24 00:00:00;0;0;0;0;-1;1831;0;0
2020-02-25 00:00:00;0;0;0;0;0;2661;0;1
2020-02-26 00:00:00;0;1;49;0;2;2408;0;0
2020-02-27 00:00:00;0;1;0;0;42;2846;0;0
2020-02-28 00:00:00;0;0;24;0;1;3400;0;1
2020-02-29 00:00:00;0;0;50;0;0;2994;0;0
2020-03-01 00:00:00;0;0;52;0;37;2842;0;0
2020-03-02 00:00:00;0;0;116;0;66;2695;0;0
2020-03-03 00:00:00;0;0;0;0;11;2596;0;0
2020-03-04 00:00:00;0;0;261;0;116;2551;0;0
2020-03-05 00:00:00;0;0;187;0;138;2291;0;0
2020-03-06 00:00:00;0;1;174;0;109;1652;0;0
2020-03-07 00:00:00;10;1;756;28;66;1595;0;0
2020-03-08 00:00:00;0;0;465;0;33;1850;1;0
2020-03-09 00:00:00;0;0;260;2;102;1418;0;0
2020-03-10 00:00:00;1;0;337;0;0;1379;0;1
2020-03-11 00:00:00;0;7;228;151;321;1463;0;0
2020-03-12 00:00:00;0;0;0;0;0;1260;0;4
